Invoice	Date	Item Name	Net Sales
417837			
	Mar 23, 2018	통갈비	31.88
	Mar 23, 2018	물냉면	21.76
	Mar 23, 2018	해물순두부	10.88
			64.52
417740			
	Mar 23, 2018	닭불고기	14.88
	Mar 23, 2018	순대국밥	10.88
	Mar 23, 2018	갈비탕	12.88
	Mar 23, 2018	Ginger Ale	1.95
			40.59
417805			
	Mar 23, 2018	통갈비	63.76
	Mar 23, 2018	오징어불고기	14.88
	Mar 23, 2018	감자탕	29.88
	Mar 23, 2018	불낙전골	34.88
	Mar 23, 2018	보쌈	24.88
	Mar 23, 2018	잡채	18.88
	Mar 23, 2018	ChuUm ChuRum	72.75
	Mar 23, 2018	해물파전	19.88
			279.79
417785			
	Mar 23, 2018	살고기국수	9.88
	Mar 23, 2018	양념치킨	18.88
	Mar 23, 2018	김치순두부	10.88
			39.64
417790			
	Mar 23, 2018	살고기당면	9.88
	Mar 23, 2018	LA 갈비	39.76
	Mar 23, 2018	매운닭갈비	33.88
	Mar 23, 2018	ChuUm ChuRum	14.95
			98.47
417825			
	Mar 23, 2018	살고기당면	9.88
	Mar 23, 2018	버섯순두부	10.88
			20.76
417749			
	Mar 23, 2018	닭불고기	14.88
			14.88
417758			
	Mar 23, 2018	닭불고기	14.88
	Mar 23, 2018	찐만두	9.88
	Mar 23, 2018	해물순두부	21.76
			46.52
417789			
	Mar 23, 2018	닭불고기	14.88
	Mar 23, 2018	LA 갈비	39.76
	Mar 23, 2018	밥 Rice	2.00
	Mar 23, 2018	해물파전	19.88
	Mar 23, 2018	Kokanee	4.95
			81.47
417738			
	Mar 23, 2018	불고기	14.88
	Mar 23, 2018	잡채	18.88
	Mar 23, 2018	매운닭갈비	33.88
			67.64
417788			
	Mar 23, 2018	닭불고기	14.88
			14.88
417781			
	Mar 23, 2018	닭불고기	14.88
	Mar 23, 2018	coca-cola	1.95
			16.83
417780			
	Mar 23, 2018	닭불고기	14.88
	Mar 23, 2018	군만두	9.88
			24.76
417776			
	Mar 23, 2018	살고기당면	9.88
	Mar 23, 2018	오징어불고기	14.88
	Mar 23, 2018	갈비탕	12.88
			37.64
417704			
	Mar 22, 2018	Juice	5.90
	Mar 22, 2018	해물파전	19.88
	Mar 22, 2018	감자탕	29.88
	Mar 22, 2018	잡채	18.88
	Mar 22, 2018	물냉면	10.88
	Mar 22, 2018	찐만두	9.88
	Mar 22, 2018	갈비탕	12.88
			108.18
417720			
	Mar 22, 2018	Sprite	1.95
	Mar 22, 2018	밥 Rice	8.00
	Mar 22, 2018	Canadian Pint	7.90
	Mar 22, 2018	Canadian Pitcher	64.75
	Mar 22, 2018	Cham Soju	51.80
	Mar 22, 2018	떡볶이	26.88
	Mar 22, 2018	순대접시	16.88
	Mar 22, 2018	감자탕	39.88
	Mar 22, 2018	족발	53.76
	Mar 22, 2018	군만두	19.76
			291.56
417655			
	Mar 22, 2018	매운닭갈비	33.88
	Mar 22, 2018	김치순두부	10.88
	Mar 22, 2018	해물파전	39.76
	Mar 22, 2018	불고기	29.76
	Mar 22, 2018	양념치킨	18.88
	Mar 22, 2018	돌솥비빔밥	51.52
			184.68
417677			
	Mar 22, 2018	Sprite	1.95
	Mar 22, 2018	해물순두부	10.88
	Mar 22, 2018	불고기	14.88
	Mar 22, 2018	갈비탕	12.88
			40.59
417690			
	Mar 22, 2018	Open Item	2.00
	Mar 22, 2018	돼지불고기	14.88
	Mar 22, 2018	돌솥비빔밥	12.88
			29.76
417718			
	Mar 22, 2018	밥 Rice	4.00
	Mar 22, 2018	떡볶이	26.88
			30.88
417687			
	Mar 22, 2018	매운닭갈비	33.88
	Mar 22, 2018	해물파전	19.88
			53.76
417693			
	Mar 22, 2018	매운닭갈비	33.88
	Mar 22, 2018	부대찌게	29.88
			63.76
417703			
	Mar 22, 2018	Max 330ml	5.45
	Mar 22, 2018	갈비찜	38.88
			44.33
417694			
